"name_2","N_COUNT","N_MED_ADJ_SALES_PRICE","N_MED_ADJ_SALES_RATIO","N_PERCENT_ASIAN","N_PERCENT_BLACK","N_PERCENT_HISPANIC","N_PERCENT_WHITE","N_MED_SALES_RATIO"
"40 & PAGE TOWNHOMES",20,428500,0.67754293378708,16.47244094,26.77165354,10.67716535,43.46456693,0.67754293378708
"55 AT THE PARK",143,408462.5,0.790955138328362,3.536754508,56.65742025,10.61026352,28.43273232,0.789132720105125
"70 RES WAKE LINE",52,404637.803490137,0.653094033615868,5.23220926584615,13.7683342343077,4.14589135678846,73.4626797369231,0.662752222222222
"751 SOUTH",82,738231.25,0.562666160729953,20.94517958,7.069943289,1.890359168,65.86011342,0.57436219832736
"751 SOUTH FUTURE USE",20,852500,0.475286861092996,20.94517958,7.069943289,1.890359168,65.86011342,0.469560513368984
"751 SOUTH TWNHMS",24,484568.75,0.803565545114472,20.94517958,7.069943289,1.890359168,65.86011342,0.823654683742334
"751 SOUTH TWNHMS PH 01A",92,442054.21686747,0.607811422036558,20.94517958,7.069943289,1.890359168,65.86011342,0.616939001493493
"85 NORTH, COUNTY LINE",20,269575,0.527651944568127,0.511795624,48.6857350965,20.356848065,25.32525484855,0.547300498084291
"98/N. CO. LINE/85/SHARRON",85,296385.542168675,0.606429268292683,0.0174493423294118,15.9689064597647,9.03239049668235,74.6244813758235,0.668030508474576
"ABERDEEN AND GLENN",30,247924.931897545,0.623599624838619,0,26.38504155,51.10803324,21.32963989,0.679107307692308
"ADUBON PARK",61,497125,0.555578576816696,0.72815534,17.31391586,3.478964401,71.60194175,0.589085255767302
"ALBEN ST.",13,484096.385542169,0.540908411214953,21.55207077,39.20386007,9.288299156,28.58866104,0.574049504950495
"ALEXANDER CROSSING",20,494861.91198786,0.533980046122577,10.24868124,31.98944989,1.620195931,50.03767898,0.568716313275522
"ALEXANDER PL TOWNHOMES",112,404618.75,0.753832823873069,1.152073733,68.8172043,0,23.88632873,0.774765316205534
"ALSON AND NIXON",131,248500,0.54749075314929,1.13006579681679,65.5588776236641,22.3880504137405,4.73838802067176,0.594395604395604
"ALSTON AVE SOUTH",8,304855.842185129,0.580579066442389,2.652197643375,16.62580554125,32.66956652,39.317581785,0.611723981143552
"ALTDORF/BAHAMA WOODS",7,369000,0.59769376693767,0.434656620857143,35.20950212,12.6702405085714,48.8603327171429,0.63516
"AMBER LYNN",21,261305.007587253,0.475525164046057,0,70.51993942,8.480565371,4.745078243,0.530764444444444
"AMERICAN VILLAGE",89,507375,0.592483601704949,6.94119575319101,18.2149861994157,7.693596796,64.4943867961798,0.637864788732394
"ANDERSON ST",17,750843.373493976,0.655565040650407,0,26.24179944,28.39737582,28.49109653,0.672675324675325
"ANDERSON ST 2",24,513277.693474962,0.555437076306364,0,26.24179944,28.39737582,28.49109653,0.584886502801231
"ANDREWS CHAPEL",153,490880.121396055,0.646393081202067,11.81364393,21.21464226,4.076539101,61.64725458,0.750015151515152
"ANDREWS CHAPEL TOWNS",21,466616.084977238,0.636586350445657,11.81364393,21.21464226,4.076539101,61.64725458,0.7261
"ARBORS",455,508912.5,0.684692443806791,2.48474256637143,9.0338755564,8.19930846039999,76.9295867942857,0.721586363636364
"ARCHDALE AND ROXBORO",69,271625,0.573541414141414,0.179758938826087,60.5059845089855,6.41219117385507,29.6220030118841,0.628062365591398
"ARCHERWOODS",18,400648.624810319,0.587458174267611,0,11.2241431297778,0.780411667111111,86.9613997433333,0.605776621808144
"ARGONNE HILLS",23,391957.51138088,0.548757973733584,0.574534161478261,27.1639901026087,12.7374447808696,57.401476403913,0.574112977099237
"ASHFIELD PLACE",54,498319.743313162,0.568264313320826,2.08766819255556,16.3031726368519,1.20989933748148,71.90132327,0.605827722772277
"ASHLEY FIRST",37,394446.130500759,0.567443771639609,4.281891169,21.67707404,2.943800178,61.46297948,0.635893150684931
"ASHTON HALL",87,484096.385542169,0.604042052512328,10.56625803,36.31056626,13.25160537,39.87157034,0.632328395061728
"ATWATER TOWNHOMES",76,365156.25,0.803741911188306,17.2094613219737,37.8724063253947,3.34836819139473,39.824442956579,0.817850980529855
"AUBURN",43,452537.5,0.558378590078329,1.861832435,31.50416463,5.634492896,55.41401274,0.584133333333333
"AUBURN SQUARE TOWNHOMES",65,345937.5,0.538462140992167,1.861832435,31.50416463,5.634492896,55.41401274,0.556117969821673
"AUTUM LEAF",84,405060.240963855,0.559964468312167,0.240898801904762,69.4678779207143,5.50691205619048,12.3606740942857,0.597723089983022
"AUTUMN RIDGE",30,520712.34939759,0.583518139836312,0.5425709515,32.79611318,3.66722315,55.723336205,0.614982275132275
"BAHAMA CENTRAL",6,366000,0.529095135484286,0,22.42365151,0,77.57634849,0.569013659818442
"BAHAMA RUAL",69,382625.189681335,0.561415321195466,0.944546997565218,25.784431183913,5.78424023217391,66.1969853104348,0.596393495934959
"BAHAMA SOUTH",9,306100.151745068,0.581794603222106,4.65185086666667,12.6447828811111,13.99525968,60.4273600911111,0.60384
"BAKERS MILL",17,441729.893778452,0.633530942132951,7.371167645,11.2198304,6.196999348,74.36399217,0.662039024390244
"BARBEE MDWS",7,425000,0.547009411764706,6.157965194,26.17135207,2.008032129,63.58768407,0.562048192771084
"BARKLEY STREET TWNHMS",5,637708.649468892,0.594531924119241,0.616740088,0.176211454,8.986784141,72.95154185,0.663094717668488
"BARWICK DR",27,327253.414264036,0.522747181964573,0,0,42.41948154,57.58051846,0.522747181964573
"BAY CREEK",50,164000,0.678506738544474,1.254064097,42.63817928,29.07570831,15.09521598,0.678506738544474
"BAY POINTE",13,385735.963581184,0.516918073796123,21.55207077,39.20386007,9.288299156,28.58866104,0.521564803804994
"BELCREST",13,480000,0.53881915956509,21.55207077,39.20386007,9.288299156,28.58866104,0.555063157894737
"BELGREEN",31,394446.130500759,0.760888757506116,2.32172471,64.59369818,7.711442786,11.35986733,0.946781155015198
"BENNINGTON",24,458875,0.530289522142306,11.81364393,21.21464226,4.076539101,61.64725458,0.56645
"BENT CREEK",13,605000,0.525703703703704,5.809698079,22.64409881,0,70.3568161,0.59930297029703
"BENTWOOD",10,71547.7996965099,0.397605339419582,0,30.72143597,55.36762168,10.52813255,0.494744124922696
"BIG TWIG LN",7,334915.662650602,0.537095470383275,2.685421995,72.97527707,12.87297528,8.780903666,0.562743333333333
"BIRCHWOOD HEIGHTS",32,219082.473444613,0.480190442937392,2.685421995,72.97527707,12.87297528,8.780903666,0.499889128935877
"BLACK HORSE RUN",31,525000,0.613172380952381,0,16.59836066,0,83.40163934,0.655911304347826
"BLENHEIM WOODS",14,818133.535660091,0.618469401870487,0.61462815,2.274124155,0,87.95328826,0.659063974358974
"BLUECREST",5,215250,0.536682926829268,32.19178082,15.75342466,20.4109589,20.89041096,0.5501
"BRADBUBY GLEN",12,452660.375569044,0.572192807880427,10.24868124,31.98944989,1.620195931,50.03767898,0.63032178392181
"BRADBUBY TRACE",49,414939.759036145,0.54419917728431,10.24868124,31.98944989,1.620195931,50.03767898,0.589301298701299
"BRANDON RIDGE",44,194237.5,0.596395,2.011680727,66.32057106,3.958468527,26.47631408,0.662648756756757
"BRIAR CREEK",10,372628.361701739,0.596026321646342,3.432137285,9.984399376,0,86.58346334,0.633171116207951
"BRIER VILLAGE",40,423652.259036145,0.583449863414287,0,44.66279589,6.208128629,39.88387673,0.614732227488152
"BRIGHT LEAF AT PARK P1",38,622321.699544765,0.592154397096766,10.56910569,26.59698026,2.113821138,57.97909408,0.625310893473027
"BRIGHT LEAF AT PARK P1B&2",50,565503.698786039,0.593942890961263,10.56910569,26.59698026,2.113821138,57.97909408,0.617049444444444
"BRIGHT LEAF AT PARK P2",39,569271.623672231,0.537651056910569,10.56910569,26.59698026,2.113821138,57.97909408,0.586542608695652
"BRIGHT LEAF AT PARK P3",16,604112.291350531,0.622614891598916,10.56910569,26.59698026,2.113821138,57.97909408,0.691163440380613
"BRIGHT LEAF AT PARK TOWNS",59,390525,0.540765514395745,10.56910569,26.59698026,2.113821138,57.97909408,0.600433766233766
"BRIGHT LEAF AT THE PARK",30,641400,0.572446617138959,10.56910569,26.59698026,2.113821138,57.97909408,0.623398075053471
"BRIGHTLEAF AT THE PARK",24,460822.268588771,0.556347376777054,10.56910569,26.59698026,2.113821138,57.97909408,0.595111996792745
"BRIGHTON RD.",12,532253.414264036,0.593407662617777,0,27.13833157,1.16156283,70.64413939,0.706361759540696
"BRIGHTON STATION",42,453818.75,0.881587302689028,0,21.01865136,0,72.30989957,0.974970733863837
"BRIGHTWOOD TRIALS",108,489000,0.571839268730204,7.377616233,35.4648601032407,3.59278130746296,51.3907950506482,0.610326978639338
"BROAD ACRES",27,291445.78313253,0.466829268292683,1.52129827185185,25.0800901105185,20.5834930359259,45.786165082963,0.527644351464435
"BULL CITY CONDONS",23,426400,0.95854883151342,12.82431431,6.152705708,10.15567087,61.00815419,0.982512552301255
"CABESMILL",9,370000,0.545414670333647,8.769230769,16,3.846153846,69.84615385,0.570889189189189
"CAITHERS POINTE/LINDENOAK",26,1181047.04097117,0.584077228043486,2.43252534419231,0.460223537038461,3.02106656973077,88.1094206261538,0.61388024600939
"CAMBREY CROSSING BY ASHTON WOODS",55,410000,0.609434034809662,0,38.58490566,24.62264151,32.83018868,0.602164414414414
"CAMDEN & AVONDALE",28,369256.25,0.658576400940907,6.472196901,21.14858706,19.4165907,39.28896992,0.769896695652174
"CAMERON WOODS",13,6e+05,0.586108575924469,14.40329218,1.783264746,3.223593964,76.54320988,0.600761290322581
"CANDLEWICK",86,334406.25,0.530012595836925,7.5344312475,46.6735541488372,14.9167299816279,26.5105184383023,0.564803176064442
"CANTERBURY",19,666250,0.625205298013245,10.5990805833684,10.0737463476842,2.99645748189474,73.6199633536842,0.645478092783505
"CARDINAL LK TOWNHOMES",7,275000,0.589162073170732,0.199364525714286,69.4833338171429,4.98466447857143,12.5487177728571,0.607431226765799
"CARILLAN FOREST",27,690000,0.56763672417212,10.9975326,12.19598167,0,70.46175538,0.626925
"CARLTON CROSSING",91,1081375,0.558686350021395,0.858700732164835,10.8452384495055,2.51281766372527,83.7744816697802,0.61345641025641
"CARPENTER WOODS",18,405644.916540212,0.501691610834277,0,62.63676149,23.14004376,14.22319475,0.582159679498987
"CARRIAGE HILL",5,690591.805766313,0.556337644817073,5.809698079,22.64409881,0,70.3568161,0.69225625
"CATHY RD",7,287512.5,0.53019955654102,0,41.45818442,41.02930665,8.43459614,0.544648117839607
"CEDARS COTTAGES",12,1096547.79969651,0.715284824119241,0.61462815,2.274124155,0,87.95328826,0.763093333333333
"CEDARS VERANDA-A",23,584825.493171472,0.731027648298705,0.61462815,2.274124155,0,87.95328826,0.755499241274659
"CEDARS VERANDA-B",5,450000,0.668322824581958,0.61462815,2.274124155,0,87.95328826,0.661635555555556
"CEDARS VILLA A",39,497125,0.746246919788786,0.61462815,2.274124155,0,87.95328826,0.800840425531915
"CEDARS VILLA D",41,471500,0.754683202671313,0.61462815,2.274124155,0,87.95328826,0.801389743589744
"CEDARWOOD VILLAS",9,230000,0.345562946538556,0,56.99588477,4.218106996,38.78600823,0.35420202020202
"CHADS FORD",11,497723.823975721,0.561521317073171,0,79.76625274,6.939371804,13.29437546,0.576528155339806
"CHADSFORD",8,313610.984149039,0.62224537652439,0,79.76625274,6.939371804,13.29437546,0.713572440586396
"CHAMBERLYNNE",25,670000,0.550910236220472,1.405975395,7.029876977,6.590509666,79.61335677,0.579957100591716
"CHAMPIONS POINTE",12,537968.992814962,0.536199879275654,5.836065574,5.31147541,13.7704918,65.37704918,0.562781752473717
"CHANCELLOR'S RIDGE TOWNHO",69,560000,0.561185642444053,20.94517958,7.069943289,1.890359168,65.86011342,0.5842
"CHANCELLORS RIDGE TWNHMS",17,341325,0.532900487804878,20.94517958,7.069943289,1.890359168,65.86011342,0.570760869565217
"CHAPEL HILL RD",115,451062.215477997,0.651598352866646,6.68480268818261,11.6323914247913,1.80127943924348,66.952525096,0.718632352941176
"CHAPEL RUN",16,593870.068285281,0.636628006288774,7.371167645,11.2198304,6.196999348,74.36399217,0.73772358490566
"CHAPEL RUN TOWNHOMES",13,417687.5,0.601468094512195,7.371167645,11.2198304,6.196999348,74.36399217,0.630142105263158
"CHARLES SQUARE TOWNHOMES",16,216174.698795181,0.300203319139644,1.809210526,12.17105263,3.536184211,67.26973684,0.35213506006006
"CHATFIELD COURT",10,211267.319277108,0.478540868530637,13.48614072,55.97014925,19.29637527,8.475479744,0.491842790697674
"CHEEK AND CATALPA",16,377891.56626506,0.543729826791108,0,36.1671452775,41.190211418125,18.63016870375,0.546333676474174
"CHEEK AND ROBINHOOD",44,231906.25,0.481335675813008,0.876456876545455,29.2606422663636,45.8694186036364,11.5893814924545,0.527009827124923
"CHOWNINGS PLACE TOWNHOMES",7,370481.927710843,0.593030243902439,6.588579795,46.41288433,0,46.99853587,0.653112676056338
"CLAYTON CROSSING",36,295891.56626506,0.577075140712946,0,37.7058182908333,43.7804104120556,14.3640779088889,0.595006326530612
"CLEVELAND HOLLOWAY",150,415032.379518072,0.631829210015109,0.832273166226667,47.55040672428,22.8215935274267,23.4700004469667,0.671001602081337
"CLUB & DEARBORN",63,235000,0.615740625,0.0454609897936508,50.232977812381,26.1386543907937,15.8983140734444,0.615778911564626
"CLUB AND WASHINGTON",10,396902.124430956,0.683317050890356,0.956521739,38.52173913,19.91304348,33.13043478,0.685678740310077
"CLUSTER TOWNHOMES",15,330364.188163885,0.549998185365854,21.79824561,39.69298246,0,37.93859649,0.581456140350877
"COACHMANS WAY",28,301291.28414264,0.494887246852764,14.19753086,20.37037037,0.396825397,53.92416226,0.503720238095238
"COLEMILL N OF 85",51,678000,0.630926864590876,0.407830021647059,7.52812757452941,4.01264899972549,83.7574803629412,0.630926864590876
"COLONY HILL",43,3e+05,0.543146439962477,14.40329218,1.783264746,3.223593964,76.54320988,0.602905660377358
"COLONY HILL CONDOS",8,490425.451807229,0.586231255131897,14.40329218,1.783264746,3.223593964,76.54320988,0.600887036510194
"COLONY PARK",19,576000,0.602405405405405,14.0447911715789,2.87934021168421,2.88426828357895,75.9030567747369,0.669255172413793
"COLONY WOODS",20,544248.103186646,0.441378610841648,0,20.25316456,4.068716094,70.70524412,0.516979122621565
"COLVARD FARMS",9,1877108.43373494,0.635423913043478,20.94517958,7.069943289,1.890359168,65.86011342,0.71826125
"COPLEY FARMS",42,412543.975903614,0.545641141912271,0.531638735238095,69.3596866457143,9.16264509952381,11.0443683442857,0.559355953174074
"COPLEY FARMS TWNHMS",45,346000,0.738875856026522,0.69777584,69.29786306,11.25163541,10.29219363,0.899871794871795
"COPPER CREEK",32,424220.125189681,0.527102697767601,1.861832435,31.50416463,5.634492896,55.41401274,0.576265855614973
"CORNERS @ BRIER CRK TNHMS",9,503275,0.822323779245939,2.031694433,4.794798862,14.38439659,78.78911012,0.842881873727088
"COUNTRY CLUB",71,503855.421686747,0.56768064578714,0.366808530591549,19.1246174473239,11.641310502493,63.1190253991549,0.61536
"COUNTRY KNOLL",7,330000,0.56846460777851,0,23.58870968,0,76.41129032,0.679649230769231
"COUNTY LINE N. DUR/CH&11B",67,527875,0.596261535278746,11.2314354333134,10.9405514788358,0.468556687432836,71.884525279403,0.630376315789474
"COURTNEY CREEK TOWNHOMES",34,475600,0.889513908722225,2.423018677,49.01564866,30.18677436,17.74356386,0.904478784129573
"COURTYARDS AT SOUTHPOINT",59,752807.283763278,0.780123918926184,9.922113105,19.77649848,1.896376566,62.71588215,0.965953138075314
"CREEKSIDE",19,307500,0.542675061571463,9.16987268842105,31.2318665405263,2.82318960352632,51.1138151631579,0.580677304964539
"CREEKSIDE AT BETHPAGE",33,440485.584218513,0.704609132587567,10.24868124,31.98944989,1.620195931,50.03767898,0.768226666666667
"CREEKSIDE COMMONS",31,450000,0.579850800689825,7.371167645,11.2198304,6.196999348,74.36399217,0.591920430107527
"CRESSET OVERLOOK",36,797187.5,0.634987610151401,14.19753086,20.37037037,0.396825397,53.92416226,0.672477697185174
"CREST ST",10,295138.253012048,0.475557353318734,0,63.12456017,23.78606615,8.092892329,0.54772243313201
"CROASDAILE",89,902000,0.617693539762891,6.20247266167416,14.6927210534831,7.25076096294382,69.7939949682022,0.661389795918367
"CROASDAILE FARM SEC. 1",14,932782.419511125,0.606888194000561,3.13186813178571,22.1381578921429,2.71291208764286,71.4676113357143,0.67449936134154
"CROSS TIMBERS",22,359799.886191199,0.517866535375893,5.501330967,8.42945874,7.808340728,77.01863354,0.589348629385965
"CROWN POINTE",13,279347.496206373,0.515142708873897,0.043821209,54.99561788,14.59246275,24.40841367,0.60900487804878
"CRYSTAL LAKE TWNHMS",23,746585.735963581,0.739170892699026,8.769230769,16,3.846153846,69.84615385,0.818460960960961
"CRYSTAL MEADOWS",33,328000,0.619918964367378,1.76851206675758,34.65935124,26.0415106757576,36.5309068293333,0.667777142857143
"CRYSTAL PINES 2",47,205311.077389985,0.429649630662021,1.007751938,59.45736434,16.97674419,21.62790698,0.455167567567568
"CRYSTAL PINES TOWNHOMES",8,179899.943095599,0.494091387903043,0.62984496125,41.3751384275,14.717607975,31.2317275775,0.496992569659443
"DAIRY POND",8,702810.391566265,0.70509331044613,8.769230769,16,3.846153846,69.84615385,0.815860740127037
"DANIELS FARM",10,616607.857834982,0.555059745451026,10.9975326,12.19598167,0,70.46175538,0.618894884917175
"DAVIS PARK TOWNHOMES",28,402534.142640364,0.73295241146266,34.10672854,30.9579052,1.491547895,31.15677826,0.911816600994465
"DAVIS PARK/FINSBRY",46,271442.242033384,0.623466906159126,34.10672854,30.9579052,1.491547895,31.15677826,0.726937585929828
"DENFIELD AND MONK",25,236418.816388467,0.715336463414634,0.17197452228,85.090132928,1.3503184712,13.38757407844,0.806156756756757
"DOGWOOD POINTE",45,391037.5,0.737797723577236,3.235470342,46.97423607,5.512282804,42.84002397,0.737143243243243
"DOWNING CREEK",19,311077.389984826,0.570633351436753,16.01343785,4.479283315,1.511758119,74.41209406,0.664825925925926
"DOWNING CREEK/BRDF PI",29,269710.843373494,0.571115100242625,16.01343785,4.479283315,1.511758119,74.41209406,0.644114624505929
"DRHM CENT PRK",11,625000,0.7126128,3.223443223,9.377289377,6.373626374,74.72527473,0.77626968973747
"DUKE PARK",52,528289.156626506,0.554835573980349,4.20332624136539,11.9412411055385,18.0580042459808,59.4557022221154,0.569889759515847
"DUKE TOWER",39,248963.855421687,0.48528518902439,2.480916031,7.951653944,8.905852417,69.91094148,0.527375545851528
"DUKE UNIV HOMESITES SEC 9",17,815022.761760243,0.655544628610505,13.835748124,2.13607151547059,3.03397078964706,76.5838110276471,0.691305825242718
"DUKE UNIV HOMESITES SEC6",45,820000,0.609924494213496,4.44858266057778,1.16630219733333,1.262105592,92.1953005466667,0.639880821917808
"DUNBARTON 2",15,230625,0.49949864498645,0,36.14190687,0.609756098,63.24833703,0.531023255813953
"DUNBARTON CIRCLE",34,381944.707890744,0.613388727752142,0,36.14190687,0.609756098,63.24833703,0.629488374676046
"DURHAM COTTON MANUF",40,234122.96686747,0.413615368224615,0,71.8289180325,16.0088717,12.162210265625,0.458191244172494
"DURHAM FRWY&I-85",8,415894.729144194,0.598985122171001,12.4201278,41.33386581,7.068690096,34.94408946,0.629249565736012
"E. DURHAM C&I",13,212409.638554217,0.397278354854137,1.88267517507692,53.6025550261538,26.7634561846154,15.1966060805385,0.494337254901961
"EADEN LAKES",9,370481.927710843,0.562494902967606,0,7.092198582,22.16312057,70.65602837,0.636951612903226
"EAGEL POINT",30,549875.948406677,0.547197548093439,12.67710664,8.128262491,1.565995526,71.58836689,0.582647160282066
"EBONT/FAYETTEVILLE RD.",27,350722.891566265,0.585965714285714,12.5052403449259,38.891856630037,9.22946468385185,35.4201659396296,0.639593333333333
"ELEVEN TOWNHOMES",5,750318.664643399,0.744161164263576,3.223443223,9.377289377,6.373626374,74.72527473,0.91232131147541
"ELLERBEE CREEK PRESRV",16,372500,0.534625385710552,0.043821209,54.99561788,14.59246275,24.40841367,0.615740573175788
"ELLIOTT SQUARE TOWNES",35,666373.493975904,0.687955497394012,0,59.44444444,31.875,8.263888889,0.724109697933227
"ELLIS CROSSING",49,553500,0.668416324559285,12.37263464,35.95342067,6.877729258,41.81222707,0.715420408163265
"ELLIS CROSSING TWNHMS PH2",21,459397.590361446,0.657686652759949,12.37263464,35.95342067,6.877729258,41.81222707,0.688559228650138
