"name_2","TOTAL_SALES","Q1_COUNT","Q2_COUNT","Q3_COUNT","Q4_COUNT","UNDER_COUNT","OVER_COUNT","ACCURATE_COUNT"
"RESIDENTIAL",963,241,241,241,240,269,277,417
"ARBORS",455,114,114,114,113,145,137,173
"TOWNHOMES",361,91,90,90,90,83,104,174
"OLD EAST DURHAM",349,88,87,87,87,130,139,80
"NE ROXBORO & I-85",275,69,69,69,68,95,107,73
"HOPE VALLEY - NEW",203,51,51,51,50,41,55,107
"MARTIN LUTHER KG/HOPE VAL",172,43,43,43,43,58,63,51
"TOWNES AT COURTNEY CREEK",172,43,43,43,43,41,29,102
"ROXBORO STADIUM DUKE HUMS",168,42,42,42,42,46,52,70
"ANDREWS CHAPEL",153,39,38,38,38,25,21,107
"CLEVELAND HOLLOWAY",150,38,38,37,37,50,56,44
"ELLIS ROAD TWNHMS PH 1&2",149,38,37,37,37,21,38,90
"55 AT THE PARK",143,36,36,36,35,35,37,71
"HABITATE HAY DEVELOPMENT",143,36,36,36,35,60,65,18
"TRINITY PARK",141,36,35,35,35,42,40,59
"WOODCROFT",140,35,35,35,35,40,40,60
"JOYLAND",133,34,33,33,33,37,51,45
"ALSON AND NIXON",131,33,33,33,32,43,51,37
"LEBANON",130,33,33,32,32,39,45,46
"OLD N DURHAM",122,31,31,30,30,37,40,45
"LATTA ROAD",121,31,30,30,30,32,33,56
"CHAPEL HILL RD",115,29,29,29,28,38,44,33
"GROVE PARK",115,29,29,29,28,21,33,61
"PRESIDENTIAL",114,29,29,28,28,25,40,49
"GREENWOOD",113,29,28,28,28,21,32,60
"ALEXANDER PL TOWNHOMES",112,28,28,28,28,23,18,71
"WOOD LAKE",111,28,28,28,27,13,29,69
"ELLIS ROAD TWNHMS PH 3B",109,28,27,27,27,18,23,68
"PENRITH WEST AND OTHERS",109,28,27,27,27,22,35,52
"BRIGHTWOOD TRIALS",108,27,27,27,27,16,20,72
"TREYBURN",96,24,24,24,24,26,33,37
"WAKE FOREST/HWY & SHARRON",95,24,24,24,23,31,32,32
"751 SOUTH TWNHMS PH 01A",92,23,23,23,23,14,14,64
"NEW SUBDIVISION",92,23,23,23,23,10,10,72
"CARLTON CROSSING",91,23,23,23,22,33,32,26
"TOWNHOME COMMUNITY",90,23,23,22,22,14,35,41
"AMERICAN VILLAGE",89,23,22,22,22,18,26,45
"CROASDAILE",89,23,22,22,22,31,28,30
"ELM GROVE",88,22,22,22,22,13,15,60
"ASHTON HALL",87,22,22,22,21,24,13,50
"MIAMI AND 70 RESIDENTIAL",87,22,22,22,21,31,32,24
"CANDLEWICK",86,22,22,21,21,19,30,37
"98/N. CO. LINE/85/SHARRON",85,22,21,21,21,31,34,20
"WATTS HILLANDALE",85,22,21,21,21,29,26,30
"AUTUM LEAF",84,21,21,21,21,12,18,54
"ELLIS RD PH 3C",83,21,21,21,20,18,11,54
"LAKEWOOD",83,21,21,21,20,22,31,30
"RIDGEWOOD/RIDGEFIELD",83,21,21,21,20,12,17,54
"751 SOUTH",82,21,21,20,20,14,12,56
"MIAMI & PLEASENT",80,20,20,20,20,19,20,41
"SYKES PROPERTY",80,20,20,20,20,12,11,57
"FINLEY FOREST",79,20,20,20,19,15,16,48
"THOMPSON RIDGE",79,20,20,20,19,11,19,49
"I-85 & BROAD NE",78,20,20,19,19,31,25,22
"MEADOWS AT TWIN LAKES",78,20,20,19,19,5,10,63
"NICHOLS FARM",77,20,19,19,19,14,16,47
"RES SOUTH OF NCCU",77,20,19,19,19,24,30,23
"ATWATER TOWNHOMES",76,19,19,19,19,6,9,61
"OLD OXFORD AND DEARBORN",76,19,19,19,19,25,27,24
"OLD W DURHAM",76,19,19,19,19,25,31,20
"VILLAGE GREEN",74,19,19,18,18,25,18,31
"WEST BRIER TOWNHOMES",74,19,19,18,18,14,13,47
"RAVENSTON",73,19,18,18,18,17,12,44
"W CHAPEL HILL RD",72,18,18,18,18,28,23,21
"WYNTERFIELD",72,18,18,18,18,15,8,49
"COUNTRY CLUB",71,18,18,18,17,25,21,25
"STONEHILL",71,18,18,18,17,12,15,44
"PROVIDENCE AT SOUTHPOINT",70,18,18,17,17,17,10,43
"ARCHDALE AND ROXBORO",69,18,17,17,17,22,28,19
"BAHAMA RUAL",69,18,17,17,17,19,26,24
"CHANCELLOR'S RIDGE TOWNHO",69,18,17,17,17,13,16,40
"WALL TOWN",69,18,17,17,17,25,22,22
"GROVE PARK GOLT",68,17,17,17,17,9,11,48
"ONE CITY CENTER CONDOS",68,17,17,17,17,23,16,29
"COUNTY LINE N. DUR/CH&11B",67,17,17,17,16,24,23,20
"SOUTHSIDE",67,17,17,17,16,25,21,21
"AUBURN SQUARE TOWNHOMES",65,17,16,16,16,5,9,51
"FAIRFIELD/KINGSLEY ESTATE",65,17,16,16,16,13,12,40
"HIGHLAND PARK",65,17,16,16,16,7,13,45
"MAGNOLIA CREEK",65,17,16,16,16,12,21,32
"LYONS FARM/THE OAKS/GRAND",64,16,16,16,16,10,10,44
"CLUB & DEARBORN",63,16,16,16,15,25,20,18
"SOUTHERN POINTE",63,16,16,16,15,10,10,43
"ERO TRACE",62,16,16,15,15,10,16,36
"FAYETTEVILLE AND COOK RD",62,16,16,15,15,17,23,22
"FENDOL FARMS TWNHM",62,16,16,15,15,16,20,26
"ADUBON PARK",61,16,15,15,15,9,12,40
"PAGE SQUARE TOWNES",61,16,15,15,15,24,16,21
"BRIGHT LEAF AT PARK TOWNS",59,15,15,15,14,5,17,37
"COURTYARDS AT SOUTHPOINT",59,15,15,15,14,19,13,27
"RUSTIC OAKS",59,15,15,15,14,11,10,38
"THE VILLAGE TOWNS",59,15,15,15,14,15,11,33
"LAKESHORE",58,15,15,14,14,21,18,19
"HANOVER POINTE",57,15,14,14,14,15,10,32
"FOREST HILLS",56,14,14,14,14,18,21,17
"FORESTWOOD HEIGHTS",56,14,14,14,14,18,21,17
"NORTHERN HS RESIDENTIAL",56,14,14,14,14,15,16,25
"CAMBREY CROSSING BY ASHTON WOODS",55,14,14,14,13,6,0,49
"HUNTINGTON VALLEY",55,14,14,14,13,21,15,19
"ASHFIELD PLACE",54,14,14,13,13,10,11,33
"MELBERRY PARK TOWNS",54,14,14,13,13,8,6,40
"LANDON FARMS",53,14,13,13,13,9,16,28
"70 RES WAKE LINE",52,13,13,13,13,20,20,12
"DUKE PARK",52,13,13,13,13,10,14,28
"MAGNOLIA CREEK TOWNHOMES",52,13,13,13,13,6,7,39
"OLD FARM",52,13,13,13,13,14,15,23
"WINSFORD AT THE PARK",52,13,13,13,13,16,7,29
"COLEMILL N OF 85",51,13,13,13,12,22,13,16
"GLENNVIEW PARK",51,13,13,13,12,14,16,21
"LOCHSIDE",51,13,13,13,12,6,8,37
"WINDSOR HILLS",51,13,13,13,12,17,14,20
"BAY CREEK",50,13,13,12,12,18,3,29
"BRIGHT LEAF AT PARK P1B&2",50,13,13,12,12,11,4,35
"HARLOWE POINT  KLLB AIV LLC  PL208-108  LENNAR HOMES",50,13,13,12,12,17,10,23
"HARVARD AND MIAMI RES",50,13,13,12,12,21,22,7
"SNOWHILL RD.",50,13,13,12,12,13,13,24
"BRADBUBY TRACE",49,13,12,12,12,9,11,29
"ELLIS CROSSING",49,13,12,12,12,16,16,17
"HUCKLEBERRY HEIGHTS",49,13,12,12,12,12,16,21
"N FREEMAN W FLETCHERS",48,12,12,12,12,17,20,11
"SHERRON PLACE TOWNHOMES - MI HOMES",48,12,12,12,12,13,9,26
"SPRING VALLEY",48,12,12,12,12,11,15,22
"STRATFORD",48,12,12,12,12,11,11,26
"CRYSTAL PINES 2",47,12,12,12,11,3,12,32
"DAVIS PARK/FINSBRY",46,12,12,11,11,8,12,26
"WELLONS VILLAGE",46,12,12,11,11,11,15,20
"COPLEY FARMS TWNHMS",45,12,11,11,11,12,3,30
"DOGWOOD POINTE",45,12,11,11,11,6,4,35
"DUKE UNIV HOMESITES SEC6",45,12,11,11,11,12,15,18
"ENCLAVE AT LEESVILLE",45,12,11,11,11,8,10,27
"GREER AND JOYNER",45,12,11,11,11,21,18,6
"GREYSTONE GREEN",45,12,11,11,11,12,11,22
"SOUTHSIDE NEW CONSTR",45,12,11,11,11,13,14,18
"BRANDON RIDGE",44,11,11,11,11,11,9,24
"CHEEK AND ROBINHOOD",44,11,11,11,11,14,15,15
"AUBURN",43,11,11,11,10,9,7,27
"COLONY HILL",43,11,11,11,10,13,14,16
"HARDSCRABBLE PLANTATION",43,11,11,11,10,9,12,22
"PARKWOOD RIDGE",43,11,11,11,10,8,7,28
"ROUGEMONT",43,11,11,11,10,16,15,12
"S DUKE ST",43,11,11,11,10,9,17,17
"SWANNS MILL",43,11,11,11,10,5,10,28
"THE HILLS AT SOUTHPOINT",43,11,11,11,10,5,13,25
"TRILOGY AT BRIER CREEK",43,11,11,11,10,11,12,20
"BRIGHTON STATION",42,11,11,10,10,10,16,16
"COPLEY FARMS",42,11,11,10,10,5,10,27
"NORTHERN HS CITY",42,11,11,10,10,12,14,16
"SHEPARD'S SQUARE",42,11,11,10,10,14,8,20
"CEDARS VILLA D",41,11,10,10,10,13,18,10
"BRIER VILLAGE",40,10,10,10,10,10,6,24
"DURHAM COTTON MANUF",40,10,10,10,10,12,15,13
"POPE'S CROSSING TOWNHOMES",40,10,10,10,10,12,10,18
"BRIGHT LEAF AT PARK P2",39,10,10,10,9,3,8,28
"CEDARS VILLA A",39,10,10,10,9,15,14,10
"DUKE TOWER",39,10,10,10,9,5,7,27
"HILLSBOROUGH & GATEHILL",39,10,10,10,9,11,11,17
"SOUTH POINT TRAILS",39,10,10,10,9,8,6,25
"STONEWALL VILLAGE",39,10,10,10,9,10,7,22
"BRIGHT LEAF AT PARK P1",38,10,10,9,9,9,7,22
"GLENBROOK",38,10,10,9,9,13,14,11
"HUNINGTON RIDGE",38,10,10,9,9,8,6,24
"SOUTHPOINT TOWNES",38,10,10,9,9,9,5,24
"TAYLOR ESTATES",38,10,10,9,9,6,7,25
"ASHLEY FIRST",37,10,9,9,9,9,12,16
"KEYSTONE CROSSING",37,10,9,9,9,7,10,20
"MILAN WOODS",37,10,9,9,9,5,11,21
"WALDEN POND",37,10,9,9,9,6,7,24
"WATERFORD",37,10,9,9,9,7,7,23
"CLAYTON CROSSING",36,9,9,9,9,13,11,12
"CRESSET OVERLOOK",36,9,9,9,9,6,6,24
"GLEN STONE",36,9,9,9,9,3,8,25
"HARRINGTON MEADOWS",36,9,9,9,9,6,8,22
"HARRINGTON PINES",36,9,9,9,9,8,6,22
"WARREN PARK",36,9,9,9,9,15,14,7
"ELLIOTT SQUARE TOWNES",35,9,9,9,8,4,2,29
"STARLING WOODS",35,9,9,9,8,5,6,24
"TREYBURN LOBLOLLY",35,9,9,9,8,7,6,22
"VLGS AT CORNWALLIS",35,9,9,9,8,4,7,24
"COURTNEY CREEK TOWNHOMES",34,9,9,8,8,14,10,10
"DUNBARTON CIRCLE",34,9,9,8,8,7,7,20
"FIELDSTONE",34,9,9,8,8,6,10,18
"PAGEHURST",34,9,9,8,8,7,7,20
"CREEKSIDE AT BETHPAGE",33,9,8,8,8,11,6,16
"CRYSTAL MEADOWS",33,9,8,8,8,12,12,9
"GREEN HOPE VALLEY",33,9,8,8,8,5,6,22
"HOMES STARTING IN THE 380S --- KB HOMES BUILDER",33,9,8,8,8,0,1,32
"HOPE VALLEY ON RUGBY RD.",33,9,8,8,8,10,9,14
"MAGNOLIA PLACE",33,9,8,8,8,6,7,20
"BIRCHWOOD HEIGHTS",32,8,8,8,8,11,12,9
"COPPER CREEK",32,8,8,8,8,4,6,22
"ELLIS RD TWNHMS 3C",32,8,8,8,8,1,2,29
"GARRETT FARMS",32,8,8,8,8,7,5,20
"SPARGER SPRINGS",32,8,8,8,8,1,8,23
"THAXTON",32,8,8,8,8,6,8,18
"WOODCREST",32,8,8,8,8,4,5,23
"BELGREEN",31,8,8,8,7,7,3,21
"BLACK HORSE RUN",31,8,8,8,7,5,8,18
"CREEKSIDE COMMONS",31,8,8,8,7,4,4,23
"FLETCHERS MILL  HWY 85 & HWY 98  PHILLIPS CREEK",31,8,8,8,7,10,12,9
"KENWOOD RD.",31,8,8,8,7,6,10,15
"LYNN HOLLOW",31,8,8,8,7,6,5,20
"SOUTHPOINT LANDING",31,8,8,8,7,5,8,18
"WESTWOOD ESTATES",31,8,8,8,7,6,5,20
"ABERDEEN AND GLENN",30,8,8,7,7,12,12,6
"AUTUMN RIDGE",30,8,8,7,7,8,9,13
"BRIGHT LEAF AT THE PARK",30,8,8,7,7,5,8,17
"EAGEL POINT",30,8,8,7,7,1,5,24
"FOREST OAKS",30,8,8,7,7,6,8,16
"GREY MOSS",30,8,8,7,7,7,9,14
"SETTLERS MILL",30,8,8,7,7,8,4,18
"SUMMER MEADOW",30,8,8,7,7,8,6,16
"SWANNS MILL TOWNS",30,8,8,7,7,2,4,24
"DOWNING CREEK/BRDF PI",29,8,7,7,7,3,6,20
"ERWINWOOD",29,8,7,7,7,2,7,20
"PANTHER CREEK",29,8,7,7,7,4,5,20
"CAMDEN & AVONDALE",28,7,7,7,7,9,12,7
"COACHMANS WAY",28,7,7,7,7,3,4,21
"DAVIS PARK TOWNHOMES",28,7,7,7,7,8,8,12
"LAKESHORE TOWNHOMES",28,7,7,7,7,1,10,17
"MARY HILL",28,7,7,7,7,6,10,12
"TRIPLE CROWN - WAKE FOREST HWY - AG EHC (LEN) MULTI STATE 2 LLC",28,7,7,7,7,5,7,16
"BARWICK DR",27,7,7,7,6,4,7,16
"BROAD ACRES",27,7,7,7,6,7,10,10
"CARILLAN FOREST",27,7,7,7,6,1,5,21
"EBONT/FAYETTEVILLE RD.",27,7,7,7,6,7,12,8
"FALLS VILLAGE GOLF COURSE COMMUNITY",27,7,7,7,6,8,8,11
"GANYARD FARM",27,7,7,7,6,2,6,19
